precision,recall,f1-score,support
0.9,0.8411214953271028,0.8695652173913043,107.0
0.8235294117647058,0.8484848484848485,0.8358208955223881,99.0
0.7906976744186046,0.7472527472527473,0.7683615819209039,91.0
0.7662337662337663,0.6145833333333334,0.6820809248554913,96.0
0.8571428571428571,0.8648648648648649,0.8609865470852017,111.0
0.8620689655172413,0.7211538461538461,0.7853403141361256,104.0
0.7640449438202247,0.7311827956989247,0.7472527472527474,93.0
0.9032258064516129,0.7924528301886793,0.8442211055276382,106.0
0.7288135593220338,0.9247311827956989,0.8151658767772512,93.0
0.9583333333333334,0.69,0.8023255813953488,100.0
0.8322649572649573,0.779,0.8047520661157025,1000.0
0.8354090318004379,0.7775827944100046,0.80111207918644,1000.0
0.8385504808613251,0.779,0.8034602464153843,1000.0
0.8661666666666668,0.779,0.7965333333333333,1000.0
