precision,recall,f1-score,support
0.8493723849372385,0.8675213675213675,0.8583509513742072,234.0
0.9004739336492891,0.8482142857142857,0.8735632183908044,224.0
0.9536082474226805,0.7459677419354839,0.8371040723981901,248.0
0.8682634730538922,0.7142857142857143,0.7837837837837838,203.0
0.7901234567901234,0.927536231884058,0.8533333333333333,207.0
0.8844444444444445,0.8844444444444445,0.8844444444444445,225.0
0.96875,0.9538461538461539,0.9612403100775193,260.0
0.9217877094972067,0.7051282051282052,0.7990314769975787,234.0
0.9158878504672897,0.8412017167381974,0.8769574944071589,233.0
0.8803827751196173,0.8141592920353983,0.8459770114942529,226.0
0.9731182795698925,0.7735042735042735,0.861904761904762,234.0
0.9906976744186047,0.8987341772151899,0.9424778761061946,237.0
0.9647058823529412,0.7161572052401747,0.8220551378446116,229.0
0.8439024390243902,0.8398058252427184,0.8418491484184915,206.0
0.0,0.0,0.0,0.0
0.9055956059045658,0.824375,0.8630786847701619,3200.0
0.8470345700498407,0.768700442315711,0.8028048680650222,3200.0
0.9103048316474204,0.824375,0.8618826470936339,3200.0
0.9258333333333333,0.824375,0.8513333333333333,3200.0
